Ano,Mes,Maxima_Energia_Armazenada,Energia_Armazenada_Verificada,Porcentagem_Armazenamento_Total,Subsistema,Consumo_Mensal
2011,7,19735.0,17029.935483870966,86.293225440645131,Sul,743717.64166666672
2011,8,51809.0,38658.967741935434,74.61870968741961,Nordeste,739317.19166666665
2011,8,12415.0,10085.096774193553,81.236129760645227,Norte,278160.71805555554
2011,8,200166.0,155209.70967741951,77.540968372258234,Sudeste / Centro-Oeste,2504483.111111111
2011,8,19735.0,18866.322580645145,95.598386949032232,Sul,754097.00138888892
2011,9,51809.0,33803.100000000115,65.245332717333312,Nordeste,716988.04166666663
2011,9,12415.0,7803.7000000000007,62.858999760666705,Norte,272381.58333333331
2011,9,200166.0,139445.56666666662,69.665333303000025,Sudeste / Centro-Oeste,2505853.1666666665
2011,9,19735.0,18737.30000000001,94.945666758333417,Sul,724863.29166666663
2011,10,51809.0,28551.096774193513,55.1087100129032,Nordeste,755535.57361111115
2011,10,12415.0,5698.0967741935519,45.897419221935507,Norte,286160.8277777778
2011,10,200166.0,125700.0,62.79741939419354,Sudeste / Centro-Oeste,2542753.8166666669
2011,10,19735.0,17712.38709677419,89.752580458064514,Sul,744869.80833333335
2011,11,51809.0,24828.700000000004,47.923666764000018,Nordeste,723694.54166666663
2011,11,12415.0,5971.2333333333336,48.098666763333426,Norte,265130.25
2011,11,200166.0,117531.76666666663,58.717333093666639,Sudeste / Centro-Oeste,2443108.8333333335
2011,11,19735.0,16340.53333333332,82.801000468999987,Sul,713817.0
2011,12,51809.0,26046.612903225821,50.274838724838666,Nordeste,762779.24027777778
2011,12,12415.0,6276.0645161290367,50.553225609354847,Norte,279076.68194444443
2011,12,200166.0,116428.54838709669,58.165806432580588,Sudeste / Centro-Oeste,2522198.965277778
2011,12,19735.0,12453.258064516127,63.102580778709594,Sul,777236.60694444447
2012,1,51809.0,33794.612903225832,65.229032085806423,Nordeste,764674.50277777773
2012,1,12415.0,8455.0000000000036,68.104515936128976,Norte,267029.13472222222
2012,1,200166.0,139592.09677419369,69.7383873229033,Sudeste / Centro-Oeste,2464509.3861111109
2012,1,19735.0,11503.774193548383,58.292903162258064,Sul,777635.12916666665
2012,2,51809.0,41440.758620689659,79.98793108655174,Nordeste,682602.48333333328
2012,2,12415.0,12016.482758620687,96.792414434827577,Norte,245380.88194444444
